,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
279,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,905.4229190349579,310,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.30421909 1.55210102 3.13971987 1.41465774 3.21213276 1.42871444
 3.22979374 1.70512726 3.13516543 1.57124262 2.89089628 1.7826962
 2.74295658 1.48396476 2.79826772 1.62671269 2.93433768 1.45689891
 2.90794422 1.71762099]",0.3042
280,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DxK,1090.900161266327,361,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.10187365 1.69931422 4.54292758 1.68281077 3.26571944 1.54115842
 3.07426607 1.3211143  3.10198991 1.66578443 3.44916093 2.91337904
 3.47174129 1.31934359 3.5801136  2.26189809 3.20822644 1.46338778
 3.31942231 1.54363596]",0.5616
281,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<Dv[,929.4569752216339,325,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.29073227 1.52491755 3.17174188 1.55158193 3.06031618 1.49706919
 3.24744511 1.49804204 3.09019707 1.65510175 2.87412367 1.4773883
 4.36716172 1.72908112 2.97671701 1.76641968 2.6498325  2.52419272
 3.64350654 1.76088486]",0.3033
282,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DbS,693.8229937553406,239,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.1765628  1.60040591 2.79790568 1.64918919 2.91290628 1.49774225
 2.98475437 1.51167769 4.23637722 1.62036041 3.12309545 1.4678641
 4.13198408 1.53531987 2.76378436 1.29551656]",0.1714
283,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DxK,714.1551320552826,252,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.5279817  1.3551375  3.03638207 2.64715921 2.94110604 1.59242773
 3.24072537 1.75947156 3.88629383 1.59105103 3.27404548 1.85045735
 2.31636601 1.66851552 3.94223429 1.64168867]",0.41709999999999997
284,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<Dv[,769.2908234596252,262,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.46798069 1.52958351 3.18389402 1.61300814 3.08489192 1.52682584
 2.71234389 1.69158335 3.2725959  1.47181821 2.66605645 1.76293519
 4.05553237 2.60932235 3.17529228 2.54875949]",0.0305
285,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,1004.8721759319305,344,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.13179084 1.59550612 4.20552328 1.53853431 2.82522583 1.57983767
 3.12657516 1.71764582 3.49563975 1.65841026 4.39878039 1.54140045
 3.42392743 1.16927864 3.33187055 1.64891215 3.04875697 1.32339531
 3.92429594 2.49140079]",0.4039
286,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DxK,801.9724996089935,281,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.91283886 1.51807978 3.14793997 1.37464791 3.46560894 1.67878895
 3.29592193 2.69296492 3.27298935 1.3420301  3.02920717 1.43565248
 3.00422189 1.48578728 3.53330401 1.48339751 3.28551428 1.56141666
 3.11396429 1.56071146]",0.4204
287,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<Dv[,919.6943364143372,308,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.02081802 1.59253883 3.31557695 1.52028645 4.19401634 1.72367921
 4.02611161 1.55590177 3.38168885 1.71364057 3.63921882 1.53242486
 3.32740791 1.59146028 3.52418728 1.43059458 3.08114389 1.59916988
 3.05572377 1.39960645]",0.23020000000000002
288,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DbS,685.2825107574463,241,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[2.89818432 1.77034952 2.95057639 1.70098906 3.42090554 1.56775693
 3.36409876 1.42849972 2.63644317 1.49256494 3.44305909 1.60462617
 3.2995427  2.52989591 3.46945982 1.57681505]",0.2577
289,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DxK,827.0781087875366,284,"[0, 1, 0, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.44225761 2.62466641 3.38466322 1.65961113 3.38304357 2.80885042
 2.87256049 1.37846236 3.35975921 1.33454268 3.5119415  1.68623081
 3.3515273  1.64995543 3.570013   1.72224111]",0.4723
290,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<Dv[,832.4661741256714,282,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.77623077 1.79731082 3.4267224  1.65459597 3.05151468 1.53241894
 3.32589945 1.6351076  3.53362509 2.60915443 3.38472498 1.55457294
 3.17727049 1.76053209 3.96549017 1.48481119]",0.4593
291,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,987.4006688594818,337,"[0, 0, 1, 1, 1]",3,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.14964602 2.4326697  4.34747847 2.79841898 3.14930113 2.61638956
 3.0622443  1.58855827 3.17020349 1.79118776 2.60671251 1.61251588
 3.0891119  1.45980636 3.75576496 1.56557521 2.79917934 1.4409177
 2.78801602 2.32793395]",0.1407
292,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DxK,963.3850984573364,333,"[1, 0, 1, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.99012414 2.79461555 3.30537445 2.53480834 3.05703248 1.56948745
 3.44271047 1.30357419 2.95446935 1.80503718 3.43559948 1.60036824
 3.48382749 1.85309539 3.58626032 1.73864375 2.79349041 1.55801177
 2.5762262  2.46216442]",0.494
293,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<Dv[,959.196150302887,333,"[1, 1, 1, 1, 1]",5,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.23416125 2.8230965  3.98178718 1.50039201 4.23907516 2.50360729
 3.98563657 1.23402943 3.34355744 1.4819902  3.10176994 1.6957695
 3.08721429 1.46841693 4.04599677 1.75244895 4.13945    2.24160422
 3.29264178 2.52442398]",0.29910000000000003
294,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DbS,856.2579109668732,294,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.82349556 2.80790511 4.124756   1.01193192 3.14836197 1.37319319
 3.07855823 1.22626427 3.42151077 1.05869247 3.06473857 2.09408548
 3.66608586 1.32986965 3.23418848 1.70164202]",0.4196
295,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DxK,808.6594233512878,271,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.72780491 1.4892497  3.10721335 2.70363156 3.32554018 1.82971732
 2.851113   1.29478578 3.32514455 1.50351653 3.39933443 1.38059173
 3.11771163 2.62911135 3.25002275 1.36633231]",0.4896
296,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<Dv[,784.7220497131348,279,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.04772374 1.46308699 3.08555108 1.58972905 3.81499884 1.82902425
 3.35422384 1.70588414 2.8107492  1.35454194 3.35211892 1.6861402
 3.27786728 1.33920766 2.63344631 2.48239443]",0.0927
297,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,1078.1961543560028,374,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[2.92670785 1.63117676 3.11948329 1.44899991 3.06771499 1.44925832
 3.36338942 1.50182473 3.30563156 1.85907308 3.50610392 1.5223417
 4.54515505 1.36727185 2.97502781 1.65155034 3.14794324 1.63405191
 3.19949948 1.64469382]",0.2111
298,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DxK,999.4736838340759,338,"[1, 1, 1, 1, 1]",5,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.06203537 2.51024794 2.95584742 1.674862   2.97009921 1.47052244
 3.80775655 1.61147649 3.66833637 1.74195408 3.44777575 1.45244546
 3.13775184 1.70683468 2.97486436 1.5092882  2.79035072 1.38012713
 3.27207957 1.41401336]",0.295
299,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<Dv[,851.3051273822784,289,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.01907487 1.17433652 3.86493817 2.42716495 4.2506489  1.98242149
 3.05211545 1.48224928 3.51915017 1.50649642 4.26575383 1.52744052
 3.01664043 2.81427215 2.96884027 1.50941354 2.97640994 1.46341635
 3.11453063 1.30770305]",0.26339999999999997
