,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
240,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<DbS,618.8340883255005,217,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.67066558 1.85231677 2.98471277 2.77756304 2.69749921 1.46817661
 3.56650357 1.03905549 3.53999856 1.21115516 2.87111886 3.32572276]",0.2678
241,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<DxK,629.0549340248108,215,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.19823316 1.13515306 3.22213927 1.03480195 2.75590425 1.10095717
 2.73436441 0.89005177 2.78997406 1.38773766 2.88152153 1.41634332]",0.521
242,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<Dv[,677.0394856929779,235,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.12972169 1.74498333 3.54417405 1.84929021 2.88567936 1.377217
 2.80269865 1.77348131 2.87070971 2.75839058 2.74330893 2.77454534]",0.37529999999999997
243,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,269.8440833091736,93,"[0, 0, 1, 1, 1]",3,"[0, 0, 0, 1.0, 1.0]",2.0,[4.21297904 1.69971045 2.68739843 1.81758955],0.1071
244,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,263.8263154029846,91,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[4.24848388 1.3229374  2.71234217 1.33055738],0.5660000000000001
245,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<Dv[,246.31877088546753,86,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[3.66132494 1.97769577 2.12242858 1.58590679],0.1227
246,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DbS,409.1880421638489,146,"[1, 1, 0, 1, 1]",4,"[0, 0, 0, 1.0, 1.0]",2.0,"[2.94642013 1.38530964 2.95466416 1.00351254 2.86851402 1.40989272
 3.24331856 1.79745935]",0.1566
247,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DxK,403.621146440506,141,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.66823319 1.76354611 3.06520239 1.68072629 3.50777953 1.5336858
 3.0513478  1.66736921]",0.5723999999999999
248,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<Dv[,426.17210602760315,149,"[1, 1, 1, 1, 1]",5,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.20371127 1.3962477  3.69090245 2.74908078 2.44949568 1.2428061
 2.9234308  1.7569387 ]",0.12190000000000001
249,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,259.70310163497925,91,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,[4.32575804 1.63142661 2.62019562 2.15714639],0.1162
