,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
578,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,9.369398593902588,1763,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[4.33549976 1.63660258 2.74610582 2.93927373],0.372
579,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<Dv[,0.8337390422821045,142,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[3.75092551 1.05496939 2.71100382 2.59648878],0.0696
580,gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<Dv[,135.3059000968933,5000,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.96048122 1.59913538 2.88462072 1.82789348 3.41435608 1.80163086
 3.59685432 1.53477159 3.3494709  1.8309155  2.91719603 1.61637995
 3.67889256 1.67973274 2.85411112 1.54241941 3.58382703 2.66522331
 3.01681701 2.41050322]",0.9690000000000001
581,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<Dv[,83.29987812042236,5000,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.45896274 2.21749135 2.89816277 1.74743137 2.68007407 1.31169871
 2.70347151 1.13972127 2.86548312 1.58877673 3.95278461 2.75786634]",0.6028
582,gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<DbS,60.51130986213684,5000,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.7958794  2.06020553 2.86444087 1.36946467 3.0232776  1.59705713
 3.82628292 1.97181947 3.48194039 0.73792558 4.01704278 1.61939109
 2.7608023  1.54651684 3.68314291 2.72457986]",0.8368
583,gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<DxK,89.7323989868164,5000,"[1, 0, 1, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.10043666 2.30859905 2.71971609 1.42893734 2.81429533 1.70298583
 3.03759482 1.72056217 2.77704463 1.33829426 3.13139689 2.06224848
 4.01255802 1.24510166 3.99282064 1.80927063]",0.8349
584,gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<Dv[,84.62280654907227,5000,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.38596145 1.41613273 2.98735711 2.44853222 3.40184401 1.5308496
 3.3167079  1.5955516  3.14801615 1.88332991 3.14267136 1.24296846
 2.76722961 2.52396024 3.7806672  2.73963482]",0.0001
585,gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<DxK,104.00142860412598,5000,"[1, 0, 1, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.03829276 2.54099489 3.07966786 2.82696729 3.15744881 2.47619043
 3.236642   1.51726795 2.72124689 1.81962128 2.86046324 1.92937555
 3.80769673 1.26978884 3.1204473  1.09915628 4.09321791 1.28019478
 3.75764968 2.40875293]",0.9797
586,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DbS,7.494837760925293,955,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.68043276 1.74711148 4.52787747 2.92485775 3.45209382 0.84219464
 3.34049012 1.17264406]",0.4409
587,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DxK,27.738763332366943,3337,"[0, 1, 0, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.47393888 2.81398091 3.80543136 2.93213469 3.39608937 0.83647994
 4.01803253 1.60730734]",0.5729
