param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,9,>>graph6<<Hm~]x^^,171.8912649154663,5000,"[1, 1, 1, 1, 0, 1, 1, 1, 1]",8,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,"[3.72664377 2.02494789 3.48720705 1.53646421 3.3442625  1.53579223
 3.10055205 1.57981445]",0.4164
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,124.82533240318298,5000,"[1, 1, 0, 1, 0, 1, 0]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[2.60354342 1.73703193 2.95758543 2.14683914 3.73069327 3.05610685
 2.84915578 2.24254007 2.842421   2.54269099 3.01987036 1.80270633]",0.4851999999999999
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,161.94861936569214,5000,"[1, 0, 0, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[3.13834873 1.61842072 3.76424566 1.51686826 3.38895445 1.70765448
 4.23491787 1.80813686 3.30543692 1.43260301 4.45002069 1.39525135]",0.3713
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,187.8270673751831,5000,"[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[3.67878371 3.1652091  2.88744637 1.16449041 2.88115466 1.60162326
 3.34293689 1.04587026 2.53882777 1.13436253 3.02007532 1.59681779]",0.1346
gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<DkO,56.9289026260376,5000,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[4.33914673 1.46316227 2.27867145 1.96270648 3.21195661 1.59115739
 3.38836859 1.3131204  3.08155464 2.70766403 3.55521913 1.90775319
 2.33361055 1.62159805 2.47985033 2.21764727]",0.8849
gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<Dm{,100.3422622680664,5000,"[1, 0, 0, 1, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.19142009 1.56939522 3.81019502 2.81176177 3.66574903 1.51862094
 3.37655031 1.81403001 3.72318437 1.13278825 4.4037862  1.07857257
 2.56977453 1.16827048 2.21012938 2.06544677]",0.8464
gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,157.5835816860199,5000,"[1, 1, 0, 0, 0, 1, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[3.24522719 1.57192336 3.13150556 1.6627588  2.54676243 0.72155928
 2.40599708 2.96353679 2.83501696 1.46669713 3.64897997 1.79218549
 2.71689375 2.36436366 3.15740399 1.4542385 ]",0.5436
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<DkO,61.779380083084106,5000,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[4.01329131 1.54478159 4.68716258 2.34386871 3.10320806 1.88641849
 2.86304643 1.66989952 3.15579637 1.35089512 2.8198034  1.57587625
 2.47032427 1.78714226 4.4689149  1.99202572 4.70786671 2.32667639
 2.45569957 1.95293505]",0.9223
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,9,>>graph6<<Hm~]x^^,408.2558717727661,5000,"[1, 1, 0, 0, 1, 1, 1, 1, 1]",7,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,"[4.17039043 1.56964605 3.1419614  1.52911801 2.93856707 1.57491952
 3.15651565 1.77913234 3.65828729 1.45231756 3.04271495 1.77161009
 2.58676625 1.58969856 3.35946756 1.41379343 3.05801194 1.73856257
 3.16733951 2.50718915]",0.4353000000000001
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,9,>>graph6<<Hm~]x^^,251.86455821990967,5000,"[1, 0, 1, 1, 1, 1, 1, 0, 1]",7,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,"[4.26346887 1.48851324 3.08066411 1.73959584 2.97196941 1.45686028
 2.9531056  2.42506878 2.80805175 1.30488818 3.78995156 2.46323279]",0.4684999999999999
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<Dm{,121.24875545501708,5000,"[1, 0, 0, 1, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.26244846 1.82037868 3.98902011 1.46113643 3.34875243 1.57552997
 3.59094361 1.39815493 3.62113459 1.37820547 4.47159078 1.6566099
 3.47663775 2.33958117 2.9446574  1.65310421 3.88262734 1.49935886
 3.6608681  1.66815272]",0.6715
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DkO,3.349369764328003,923,"[0, 1, 1, 0, 1]",3,"[1.0, 1.0, 0, 0, 0]",2.0,[3.58110994 1.73044884 4.37465706 1.86133479],0.1577
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<Dm{,0.8661320209503174,163,"[1, 1, 1, 1, 0]",4,"[1.0, 0, 0, 1.0, 1.0]",3.0,[4.24135241 1.39111667 2.89245845 2.39135425],0.1588
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,13.839591979980469,1279,"[1, 0, 1, 1, 0, 1, 1]",5,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,[4.26553047 1.68549494 2.80110986 1.29745149],0.1727
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,12.9902765750885,963,"[1, 1, 1, 1, 1, 1, 1]",7,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,[2.46998894 1.96745298 3.50181039 1.86579004],0.1133
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,12.594916582107544,874,"[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,[3.54481799 3.351457   3.42719288 2.21291412],0.0854
gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,9,>>graph6<<Hm~]x^^,8.516968250274658,440,"[1, 1, 0, 1, 1, 1, 1, 1, 1]",8,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,[4.19316605 1.72442335 2.98676462 2.56140934],0.2459
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DkO,30.64040231704712,5000,"[1, 0, 0, 1, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[2.70454271 1.83363998 2.99288651 1.62390992 2.72746375 0.94456217
 5.2028658  2.23459524]",0.4871999999999999
gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,214.8552029132843,5000,"[1, 0, 0, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[4.12365065 1.79479828 3.40773342 1.55115807 2.75718096 1.62990648
 3.4656426  1.3241372  3.48539377 1.61286429 3.0744861  1.51806651
 2.86673773 1.36157571 2.99305865 2.64205604]",0.4627
gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,233.57459545135487,5000,"[1, 1, 0, 0, 0, 1, 1, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[3.65771896 1.75896108 3.13086033 1.52063347 2.92549377 1.62505703
 3.30936716 1.58998249 3.39320554 1.27588553 4.21788573 2.3014249
 2.53056759 1.45647253 3.0269445  1.7024562 ]",0.2123999999999999
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,194.09444284439087,5000,"[1, 1, 0, 0, 0, 1, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[4.15357656 1.43008763 2.96753389 1.41784344 3.46100758 1.57453747
 3.13647944 1.146581   3.70152394 1.85509934 2.98610369 2.01804232
 3.23325587 1.54531035 2.31300203 1.57302475 3.28914178 1.89976952
 3.59366716 2.94060013]",0.5126000000000001
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,255.13303542137143,5000,"[1, 1, 1, 1, 0, 1, 1]",6,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[2.99334503 1.57063352 3.14178423 2.13226401 4.00550102 1.74754816
 3.31843139 1.44211486 4.05590601 1.67085609 3.27006634 1.39852733
 3.45656765 1.47647438 3.18313048 1.66265144 3.13744964 1.6211704
 2.90723156 1.13246893]",0.0516
