,backend_mode,qaoa_variant,param_initialization,depth,warm_start,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
925,noisy_sampling,vanilla,static,10,True,5,>>graph6<<DkO,1219.413076877594,329,1.0,"[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,"[1.68699725 1.94727176 0.97336768 0.89211922 0.05046622 0.57405336
 0.27650245 0.42840852 0.28077237 0.11624377 0.39684992 0.73001241
 0.27488669 0.07224863 0.89266158 0.09493032 0.40004295 0.98017036
 0.9908262  1.0038371 ]",0.3938
926,noisy_sampling,vanilla,static,10,True,5,>>graph6<<Dm{,1184.6362750530243,324,1.0,"[1, 0, 0, 0, 1]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,"[0.11073971 1.11364051 0.71537984 0.82987105 0.44126169 1.00948738
 1.38136394 0.52851127 1.00472307 0.55953243 0.13109334 0.33629824
 0.43141034 0.18702725 0.38615113 0.17809868 0.77722736 0.07373312
 0.74048376 1.33365205]",0.1494
927,noisy_sampling,vanilla,static,10,True,7,>>graph6<<FkPsg,1485.4068002700806,282,1.0,"[1, 0, 0, 0, 0, 1, 1]",5.25,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[1.09987796 2.01655126 1.30567303 0.99727709 0.12825429 0.9189349
 0.36690293 0.70760722 0.45558942 0.52398514 0.52457184 0.436563
 0.61364537 1.25317018 0.51053122 0.27750426 0.8112096  0.18797337
 0.90067505 1.10074736]",0.0412
928,noisy_sampling,vanilla,static,10,True,7,>>graph6<<Fm~]w,1756.9833815097809,297,0.9285714285714286,"[0, 0, 1, 1, 0, 1, 1]",6.5,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[1.28085269 1.06940908 1.01348953 0.76177842 0.43172385 0.63362626
 0.24522225 0.55666559 0.54865899 0.52782775 0.4300626  0.46427418
 0.48619332 0.33723256 0.59531841 0.19695439 0.81089402 0.07567816
 0.81600964 1.07949444]",0.024
929,noisy_sampling,vanilla,gaussian,10,False,5,>>graph6<<DkO,1156.0216772556305,329,0.9,"[1, 0, 0, 0, 0]",2.25,"[1.0, 0, 0, 1.0, 0]",2.5,"[2.95784659 1.47157053 2.69823566 1.70572749 2.94569312 1.58504503
 2.91130596 1.64958512 3.55109888 1.78116826 4.10080421 1.45719729
 3.42225242 1.37243757 3.54440979 1.58308719 2.64022039 1.6626042
 2.90399899 1.59540752]",0.24459999999999998
930,noisy_sampling,vanilla,static,10,True,9,>>graph6<<HkPsgZ@,1530.2146751880646,295,0.8,"[1, 1, 0, 0, 1, 1, 0, 0, 1]",6.0,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[1.10043148 0.90019709 0.98771236 0.66299429 0.27741634 0.7220793
 1.36697652 0.63335498 0.45600497 0.54480283 0.54487138 0.45559948
 0.63281472 0.36628539 0.72209389 0.2773253  0.81003744 0.18794247
 0.90009767 0.09966888]",0.0148
931,noisy_sampling,vanilla,static,10,True,9,>>graph6<<Hm~]x^^,1984.1046228408813,293,0.7346938775510204,"[1, 0, 0, 0, 0, 0, 1, 1, 0]",9.0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[1.16736498 1.85483857 0.22965909 0.70405176 1.35774753 1.18756247
 0.34269042 0.61555532 0.41755348 0.50152549 0.52266174 0.4327445
 0.61894166 0.35613845 0.70848349 0.26601375 0.78975137 0.16330223
 0.87669731 1.11155669]",0.005
932,noisy_sampling,vanilla,gaussian,10,False,5,>>graph6<<Dm{,1066.1359231472015,276,1.0,"[1, 0, 0, 0, 1]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,"[3.77752522 1.73144518 3.06802844 1.49875555 3.39130315 1.79256949
 2.97443276 1.54490256 3.00440925 1.70559502 4.50217526 1.50052959
 3.18821581 1.69133885 3.25697522 1.41939195 2.87809272 1.67771884
 3.07747325 1.51836152]",0.0834
933,noisy_sampling,vanilla,gaussian,10,False,7,>>graph6<<FkPsg,1542.6852021217346,321,0.6666666666666666,"[0, 0, 0, 1, 1, 1, 0]",3.5,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[4.60012076 1.5262785  3.27833581 1.54994192 3.24629668 1.66549801
 3.49379961 1.75059447 3.35808688 1.7955216  3.37040647 1.79896802
 3.04318142 1.56591654 3.60612814 1.73659982 3.09545226 1.86973312
 2.78553672 1.52584082]",0.0178
934,noisy_sampling,vanilla,gaussian,10,False,7,>>graph6<<Fm~]w,1591.9163682460785,268,0.8214285714285714,"[0, 1, 1, 1, 1, 0, 0]",5.75,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[4.30596002 2.59195764 3.36192224 1.61610122 2.87831029 1.56506158
 4.10983717 2.41178096 3.18628986 1.48302642 3.38129916 1.59318147
 3.29399932 1.62877158 3.23666624 1.71827816 3.30230551 1.55617658
 3.08794975 1.5072431 ]",0.015
935,noisy_sampling,vanilla,gaussian,10,False,9,>>graph6<<HkPsgZ@,1552.872166633606,301,0.6333333333333333,"[1, 1, 1, 0, 1, 1, 1, 0, 0]",4.75,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[3.66665002 2.4274732  3.2073851  2.78017237 3.94510149 1.60913058
 3.04731125 1.55940146 3.30218643 1.53370103 3.09539083 1.62740081
 2.9225287  1.56481545 2.82554416 1.50929929 3.14803696 1.51897662
 3.26365735 1.63012524]",0.0068
936,noisy_sampling,vanilla,gaussian,10,False,9,>>graph6<<Hm~]x^^,1933.072535276413,277,0.8163265306122449,"[0, 1, 0, 1, 1, 0, 0, 1, 0]",10.0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[4.22558183 1.5012552  3.01247936 2.6534941  3.2980155  1.58386515
 2.82772526 1.65229581 2.88519649 1.43921844 4.20650415 1.59437131
 3.43692286 1.64057751 3.25615916 1.69542988 3.57866745 1.52399896
 3.29205779 1.45164457]",0.0034000000000000002
