,backend_mode,qaoa_variant,param_initialization,depth,warm_start,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
35,statevector,vanilla,gaussian,10,False,True,5,>>graph6<<DkO,104.59429550170898,5000,1.0,"[1, 0, 0, 1, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[4.71537507 1.48590617 3.88187228 2.27775354 2.55326163 1.68337561
 3.36437674 1.70793754 3.12093597 1.78500253 2.48715119 1.20420724
 2.62872131 1.91423143 3.12582473 2.54968227 3.00640835 0.86141217
 2.77062845 2.67799679]",0.9615990934989301
36,statevector,vanilla,gaussian,10,False,True,5,>>graph6<<Dm{,143.39427995681763,5000,1.0,"[1, 1, 0, 0, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[2.64836288 2.54072629 3.79452898 2.13846836 3.32885886 2.29660235
 3.93592797 0.79048552 2.94143505 2.31270701 3.68297678 1.46748757
 3.13372351 1.70167134 3.85349522 1.95251345 2.88599037 1.46857254
 3.71900407 2.69802395]",0.5586332165998946
37,statevector,vanilla,gaussian,10,False,True,7,>>graph6<<FkPsg,250.10950422286987,5000,1.0,"[1, 1, 0, 0, 0, 1, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[4.28235094 1.08570453 2.68668078 1.84060359 3.51600673 1.18478955
 3.13654085 1.57795328 2.54597656 1.35535349 2.90904716 1.81972839
 3.12458506 1.07282699 3.55309945 1.2817272  2.66775964 1.02532673
 2.61642269 3.17918788]",0.8796125979581743
38,statevector,vanilla,gaussian,10,True,True,5,>>graph6<<DkO,143.3869607448578,5000,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[3.30633732 1.02763925 2.59372654 1.55014107 3.14743646 1.50698336
 3.07579681 2.09936133 4.0619983  2.49323957 3.11733293 1.6150315
 3.16019428 2.044251   4.65878866 1.54347795 2.68581023 1.59771721
 3.13187645 1.51868306]",0.9969834036556852
39,statevector,vanilla,static,1,False,True,5,>>graph6<<DkO,0.22069096565246582,65,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,[ 0.45079195 -0.53364104],0.20601602695119697
40,statevector,vanilla,gaussian,4,True,True,9,>>graph6<<Hm~]x^^,298.31809854507446,5000,1.0,"[0, 1, 1, 1, 1, 1, 1, 0, 1]",7,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,"[2.67676471 1.4310898  3.14212743 1.50327302 3.3542338  2.50359074
 3.76335041 2.43225429]",0.5282064901037647
41,statevector,vanilla,gaussian,10,True,True,5,>>graph6<<Dm{,215.67657232284546,5000,1.0,"[1, 1, 0, 0, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.24321024 2.33379259 3.34592555 1.65366122 2.8432894  1.95818166
 3.62082009 1.52582695 4.49473776 2.29660801 3.02181548 1.54349651
 2.72679053 1.50038955 3.44356935 1.35470229 2.77109761 1.69360755
 3.50257683 1.8114059 ]",0.549260421687159
42,statevector,vanilla,static,1,False,True,5,>>graph6<<Dm{,0.6926991939544678,74,1.3333333333333333,"[0, 1, 1, 1, 1]",4,"[1.0, 0, 0, 1.0, 1.0]",3.0,[ 0.44716144 -0.32012337],0.18506347271778079
43,statevector,vanilla,static,1,False,True,7,>>graph6<<FkPsg,0.7610552310943604,59,1.0,"[1, 1, 0, 1, 0, 1, 0]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,[ 0.46188122 -0.33532277],0.14112119230483816
44,statevector,vanilla,static,1,False,True,7,>>graph6<<Fm~]w,0.581190824508667,71,1.4,"[1, 1, 1, 1, 1, 1, 1]",7,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,[ 0.50127796 -0.22377675],0.183681427148671
