id,params,state,node,started_at,finished_at,artefact_path,error_msg
11,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
12,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
13,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
14,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
15,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
16,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
17,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
18,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
19,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
20,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
21,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
22,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
23,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
24,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
25,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
26,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
27,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
28,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
29,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
30,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
31,"{""graph_label"": ""paper1_3"", ""graph_path"": ""graphs_paper1/paper1_3.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",done,compute-5-9.local,2025-05-31 10:58:10,2025-05-31 18:05:01,"{""graph_size"": 9, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""multiangle"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 25557.40166950226, ""quantum_func_evals"": 1834, ""ratio"": 1.5471477342816418, ""quantum_solution"": [1, 1, 1, 1, 1, 1, 0, 0, 1], ""quantum_obj_value"": 3.747838616288485, ""classic_solution"": [1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0], ""classic_value"": 2.4224180621178033, ""final_params"": {""__ndarray__"": [3.0246995391932803, 4.361180609938165, 4.319223716274304, 4.108654782150608, 3.7622987383536564, 3.9919800528032137, 3.2320891280739494, 3.8704042655827173, 3.922378067469323, 3.07440225099898, 4.0975108659876005, 3.8638829794812155, 3.047179209555229, 2.8615500234075184, 2.870052657645333, 4.015718006734893, 3.318915759875238, 2.836006222758077, 3.1303447437200447, 3.335063300950695, 3.1832159775442954, 3.285302991054401, 3.1006484153041787, 1.6209057055389502, 2.588132707743445, 1.457204577120562, 2.6154355903784836, 1.5060452457663192, 1.439134052583584, 2.502618418116744, 1.3778699640902832, 1.5261676254868122, 2.8972778637118695, 3.0295772659895954, 3.3204022670037943, 3.3900786446419287, 4.005444516333172, 3.028982912496729, 3.1297636435683565, 3.2371735240308106, 3.4741325044566804, 3.0957040615059634, 2.800544887284419, 3.2291997977627576, 3.171216092046527, 3.2180015703779086, 3.0939182243349084, 3.0136443997052007, 3.333691139947756, 3.335688388123887, 3.2173956774190007, 2.880223025583997, 3.415268820161635, 3.4185435994555156, 2.989048643192768, 1.5400374635383496, 1.8497226319659197, 1.5075339153893257, 1.5739322907582174, 1.5515377344074317, 1.6701042766262664, 1.6137855348896881, 2.7163138176440333, 1.6446386683254806, 2.951801899231266, 2.977719040650644, 3.034071169270792, 3.4105255730171216, 3.048970827351502, 3.3945863411077304, 2.82340880865256, 4.348690079736126, 3.7015899497713463, 3.3561985411427644, 2.8820889276138244, 2.8078685323979444, 2.886029586529899, 2.599396754865137, 2.9108259300610078, 2.8836380410229845, 3.1197560398613056, 3.4752693745578216, 3.2590146504963746, 3.8555117063690774, 3.1058916641099685, 3.2635293246525365, 4.33109126546907, 1.9914125663652693, 2.411392722367154, 1.631334845199246, 1.4325200011229948, 1.6729830931498533, 3.159760430675957, 2.3612787290122, 1.5205426850201555, 1.724986607358285, 4.157213998736627, 3.1291871395518123, 3.160200065520446, 3.0838601344615797, 4.071801755477953, 3.2578538801915062, 3.473003980926343, 3.159297657778905, 3.2214168037178483, 3.304999654514584, 3.2966826447636444, 2.8782891385799396, 2.728397438895454, 3.2893526990699584, 2.553562376959422, 2.9778681671249503, 3.6515670255858286, 3.1372064085887077, 3.0179046876078806, 2.733170115558345, 3.054949268625945, 2.7932123686670036, 2.966935858827273, 1.6634642274475506, 1.6528308332507469, 1.5439874273533007, 1.726920211194412, 1.5091482810769177, 1.7850818397428647, 1.3890678697594878, 1.7023837552746448, 1.5864558343366966], ""dtype"": ""float64"", ""shape"": [128]}, ""percent_measure_optimal"": 0.0009765625, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_3""}",
32,"{""graph_label"": ""paper1_3"", ""graph_path"": ""graphs_paper1/paper1_3.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",done,compute-5-5.local,2025-05-31 11:12:16,2025-05-31 19:32:46,"{""graph_size"": 9, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""multiangle"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 29987.768189668655, ""quantum_func_evals"": 2586, ""ratio"": 1.7538356253760075, ""quantum_solution"": [1, 1, 1, 1, 1, 1, 1, 0, 1], ""quantum_obj_value"": 4.2485230968965135, ""classic_solution"": [1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0], ""classic_value"": 2.4224180621178033, ""final_params"": {""__ndarray__"": [3.236086485569104, 4.159102638180776, 3.2473562995578114, 3.977043640516476, 4.095302564445702, 3.930145025356323, 3.301383953158811, 3.0770941356579056, 2.821880414138538, 4.173128125587722, 3.774455155699939, 4.052777386683604, 3.0915430080681348, 3.2501483902419928, 3.311969537466071, 4.140530558338442, 3.7963140596915954, 3.2575516806416185, 4.113882066314606, 2.9591457817493865, 3.6071879112569674, 3.2086351100590065, 3.2362755609678606, 1.5545218082048016, 1.60220418407587, 2.5884243467423045, 1.5794699497842055, 2.5033159536586727, 1.6770010576588206, 1.401932652174248, 1.4625779080676284, 1.660359605548038, 3.3067132593864685, 2.825796737747523, 2.9249876047247114, 3.0463397095100158, 3.261591191385282, 2.9629944069216956, 3.2270267893405014, 3.38996053814812, 3.203411431998327, 3.2461012745945395, 3.0629942030721122, 3.009705504295107, 3.2239064626919536, 3.2252795725171497, 3.3243780249984116, 3.0213041763150073, 3.142627696349037, 3.4792143987274127, 3.225760419831943, 3.402822749853017, 3.2202664261250846, 3.101067908970391, 3.233494000306577, 1.3617936869605218, 1.5008358742283194, 1.6315438973175482, 1.3702995862173086, 1.637028839570074, 1.7514400123126554, 1.8033660249233168, 1.510510542487442, 1.7370387856973961, 3.365060884469545, 3.287487006281132, 3.5251031740191476, 3.249322798817793, 3.0325012640853823, 3.0014175304813646, 2.916725973730845, 3.360435070481741, 3.5974321929969366, 3.596018854176356, 3.297434906522614, 4.301598995433978, 3.1207183535961853, 3.285113024435685, 2.974850427686878, 3.325090785209901, 3.666334344114258, 3.0074695693744737, 3.0898485732873584, 3.0780172815673854, 3.317279238416064, 3.144257260130618, 3.35337611750096, 2.3265645057376143, 1.5429696364629337, 2.5710049306649383, 1.6343260914238538, 1.5714085730360845, 1.686309710935194, 1.2876658534570102, 1.5308828121638818, 1.551650202347318, 3.1561168512662285, 3.125114978953786, 4.064222712759356, 3.1751296350993137, 3.1581819353958838, 2.827798580179313, 4.49891203792088, 2.7261279065885553, 2.9527761869287, 4.469864444116842, 3.0595529455703296, 3.080490728190718, 3.1194488535574427, 3.2304112960108986, 3.1421263824615004, 3.189914172639603, 3.075219277912055, 2.9177834898644956, 3.038923739461259, 3.2434706927503374, 3.3748476373455505, 2.828802070855055, 3.289473189140298, 1.507767610869781, 1.4441264658833586, 1.5743925596768171, 1.651450657376705, 1.620605588634404, 1.559837058898241, 1.7379997656095267, 1.5809039673224898, 1.576401259399818], ""dtype"": ""float64"", ""shape"": [128]}, ""percent_measure_optimal"": 0, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_3""}",
33,"{""graph_label"": ""paper1_3"", ""graph_path"": ""graphs_paper1/paper1_3.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",done,compute-5-15.local,2025-05-31 11:13:18,2025-05-31 18:50:04,"{""graph_size"": 9, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""multiangle"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 27356.03767514229, ""quantum_func_evals"": 2042, ""ratio"": 1.7538356253760075, ""quantum_solution"": [1, 1, 1, 1, 1, 1, 1, 0, 1], ""quantum_obj_value"": 4.2485230968965135, ""classic_solution"": [1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0], ""classic_value"": 2.4224180621178033, ""final_params"": {""__ndarray__"": [3.4848745389529383, 3.9932739861353035, 4.0115263269461146, 3.7193610512339115, 3.957009195832902, 4.369183661129214, 2.7837433425880116, 3.140281830657427, 3.111221164410167, 3.9484692973633857, 3.671359760946168, 3.8888583395619705, 2.9043373554701835, 3.2777800663426073, 3.8317485682240147, 3.1319654365285174, 2.8560310158832323, 3.950274281405139, 3.149772816941684, 2.596053942843342, 3.152730542029627, 2.955964147833062, 2.918859551783162, 1.617980449459987, 1.80110898620605, 2.4526899886233653, 1.6777394359691908, 1.3547287262468826, 1.5532711880294152, 1.6308376705374354, 1.3696587617542413, 1.4368150471489254, 3.081254555121519, 3.2603803628765573, 3.43365921682325, 3.038957833223278, 3.1086712108006873, 3.0779943806005003, 3.295064690027652, 3.168092824067321, 3.2462128710605596, 2.9644105205279163, 2.905793239616387, 3.173537355662283, 3.2262296144398275, 2.9232048670052024, 3.3712980997513444, 3.266062227365125, 2.924487086864645, 3.101001688432756, 3.1621325079724283, 3.130640963291843, 2.8498583398904715, 3.3180148480365803, 3.280162383911586, 1.2289041440626889, 1.3283148964617975, 1.830339997372971, 1.5592505821766514, 1.520459630485461, 1.4463113912044314, 1.6413027378721863, 1.6054276946890345, 2.1242996554791658, 2.9829222606972676, 2.840877216908693, 2.980090633356834, 3.1247639151549675, 3.2868858226067026, 3.366210149934816, 2.93037383509489, 3.202707076853114, 2.7994646235664282, 3.0703613438566872, 3.0999100411251783, 3.3567035018673925, 3.414292470809411, 3.372374032224296, 3.325225852805586, 3.1987638592727765, 3.8330355223454413, 3.0752282735468905, 3.5445839795001817, 3.3454509222168705, 3.054129290753881, 4.245014815085616, 3.3812694175798086, 1.3197112468000767, 1.9696463617494864, 1.48444733635743, 1.9057451872733762, 2.8107884463624035, 2.4687898867877904, 1.6073149184786004, 1.8105957034188997, 1.5052203801974642, 3.0643560993606007, 3.080495559298456, 3.269226801557745, 3.316846644519924, 2.9331725338963466, 4.333430856164045, 2.950457920897713, 2.9585145388704306, 2.9967692110702617, 3.2386357318810486, 2.870015587001088, 3.2908578337013967, 3.1143080776416374, 2.9125849684028093, 3.2292009050397072, 3.1878873769349494, 3.2285471436522055, 3.4539123679299495, 3.547864857323535, 2.8530729850546575, 3.3118797070899637, 3.309188462275171, 2.9771447206869444, 1.5999301475310486, 2.2542689265880624, 1.7617142068486515, 1.9376835904156298, 1.793421346664867, 1.3367483350159446, 1.5752663116709347, 1.4985458180181155, 1.406628517121831], ""dtype"": ""float64"", ""shape"": [128]}, ""percent_measure_optimal"": 0, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_3""}",
