,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,rec_vars,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
145,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,197.72653722763062,27,[],[0. 1. 1. 1. 0.],3.667585436702108,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
146,gaussian,COBYLA,recursive,False,True,1,4,9,D~{,462.57287549972534,34,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
147,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,95.4641330242157,29,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
148,gaussian,COBYLA,recursive,False,True,1,5,9,D~{,419.65138578414917,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
149,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.03259873390197754,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
150,gaussian,COBYLA,recursive,False,True,1,6,9,D~{,294.06810784339905,35,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
151,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.04081416130065918,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
152,gaussian,COBYLA,recursive,False,True,1,7,9,D~{,217.6866066455841,33,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
153,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.060578346252441406,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
154,gaussian,COBYLA,recursive,False,True,1,1,9,D~{,788.0251550674438,26,[],[1. 0. 0. 0. 0. 0. 1. 1. 0.],8.215132111345994,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
155,gaussian,COBYLA,recursive,False,True,1,1,5,HCrfZzf,374.74766302108765,30,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
156,gaussian,COBYLA,recursive,False,True,1,2,9,D~{,728.4749510288239,33,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
157,gaussian,COBYLA,recursive,False,True,1,2,5,HCrfZzf,273.70796823501587,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
158,gaussian,COBYLA,recursive,False,True,1,3,9,D~{,590.4031398296356,35,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
