param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
uniform,COBYLA,vanilla,False,True,1,8,G?ovf{,106.21236729621887,18,"[array(-0.93539044), array(0.89400838), array(-0.10372831), array(1.35260705), array(0.20130888), array(-0.12626816), array(-0.73053502), array(-0.98164076), array(-1.0388419), array(-0.98834182), array(-0.99078326), array(-1.08533162), array(-1.01548808), array(-0.95663152), array(-1.04723432), array(-1.00753462), array(-1.03018917), array(-1.08259517)]","[0, 0, 0, 1, 1, 1, 1, 0]",6.232902104751306,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0]",6.242557566308028
uniform,COBYLA,vanilla,False,True,1,8,GCRVfw,129.34241700172424,22,"[array(-0.28295758), array(0.71677601), array(-0.22324194), array(-0.07122256), array(0.55303751), array(-0.60557657), array(-0.25154352), array(-0.24926271), array(-0.92040293), array(-1.02237539), array(-1.0804395), array(-0.77714001), array(-0.9796868), array(-1.10303226), array(-0.92235034), array(-1.18427287), array(-1.08667311), array(-1.10030265), array(-1.1674981), array(-1.14196713), array(-1.06200343), array(-1.14273972)]","[0, 0, 1, 1, 1, 1, 1, 0]",6.628144539774568,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.838899355681476
uniform,COBYLA,vanilla,False,True,1,8,GCZvnk,127.28138828277588,21,"[array(-0.07508891), array(-0.02812711), array(0.14162057), array(-0.70389689), array(-0.88605146), array(0.74500365), array(1.27215091), array(1.29582938), array(-0.70319968), array(-0.83290412), array(-0.13332527), array(-0.79271701), array(-0.81077072), array(-0.97549408), array(-0.93072123), array(-0.9972463), array(-0.91572549), array(-0.95312569), array(-0.94834078), array(-0.98281012), array(-0.94403246)]","[1, 1, 1, 1, 0, 1, 0, 0]",6.559321587398341,"[0, 0, 0, 0, 1.0, 0, 1.0, 1.0]",6.559321587398342
uniform,COBYLA,vanilla,False,True,1,7,FCZTo,128.4771122932434,21,"[array(-0.59785598), array(0.51390476), array(0.25197908), array(1.1723346), array(0.22582311), array(-0.52048632), array(-0.42633671), array(-0.59898502), array(-0.49701337), array(-0.62120679), array(-0.78820629), array(-0.79516109), array(-0.88074979), array(-0.83055851), array(-0.88756781), array(-0.85622522), array(-0.82901503), array(-0.90687601), array(-0.77858144), array(-0.82769576), array(-0.83876931)]","[0, 0, 0, 0, 1, 1, 1]",5.174843542202046,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",5.174843542202046
uniform,COBYLA,vanilla,False,True,1,7,FCZew,112.47593116760254,19,"[array(-0.41092029), array(-0.04494509), array(-0.05461918), array(0.43792188), array(-0.79231185), array(0.77497466), array(-0.56478704), array(0.06320306), array(-0.85965063), array(-0.84703229), array(-0.8097684), array(-0.85414), array(-0.86547943), array(-0.84384889), array(-0.83737625), array(-0.82852331), array(-0.89264281), array(-0.7912191), array(-0.88129856)]","[1, 0, 0, 0, 1, 1, 0]",3.947119728940813,"[0, 1.0, 1.0, 1.0, 0, 0, 1.0]",3.9471197289408133
uniform,COBYLA,vanilla,False,True,1,7,FCznW,111.37195301055908,18,"[array(-0.27484096), array(1.26969129), array(-0.07737056), array(0.01362395), array(1.17984707), array(-0.88015248), array(-0.41253637), array(-0.72223294), array(-0.54224382), array(-0.81089244), array(-0.85867076), array(-0.92639685), array(-0.89121933), array(-0.84202824), array(-0.90829553), array(-0.86118173), array(-0.8611967), array(-0.86986237)]","[1, 0, 0, 0, 0, 1, 1]",6.281398202732074,"[1.0, 1.0, 1.0, 0, 1.0, 0, 0]",6.299241994765314
uniform,COBYLA,vanilla,False,True,1,7,F?rvw,159.2394037246704,25,"[array(0.11953832), array(0.71240089), array(0.01847227), array(-0.0926296), array(0.04382932), array(-0.44689226), array(-0.47740582), array(0.13461789), array(-0.30241487), array(0.1587318), array(-0.62585724), array(-0.72793373), array(-0.626585), array(-0.78749913), array(-0.79447105), array(-0.9055505), array(-0.84761967), array(-0.8786613), array(-0.74865975), array(-0.89966802), array(-0.8481286), array(-0.81100185), array(-0.86926697), array(-0.81875231), array(-0.87382067)]","[0, 0, 0, 0, 0, 1, 1]",5.65914318919514,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.65914318919514
uniform,COBYLA,vanilla,False,True,1,7,FCpb_,177.65576434135437,30,"[array(0.32617039), array(-0.02251518), array(0.00701546), array(-0.31861167), array(0.60219065), array(-0.12691727), array(-0.3528919), array(0.72459478), array(-0.72792088), array(-0.40367875), array(-0.60610034), array(-0.80369287), array(-0.74919601), array(-0.82443859), array(-0.85619249), array(-0.8878363), array(-0.96618401), array(-0.95533731), array(-0.97992046), array(-0.92446353), array(-1.0006647), array(-0.99840118), array(-0.97417229), array(-0.99965061), array(-0.97494165), array(-0.97311589), array(-0.95998722), array(-1.00925407), array(-0.997961), array(-0.9771576)]","[0, 1, 1, 1, 0, 0, 0]",4.7100521615168285,"[0, 1.0, 1.0, 1.0, 0, 0, 0]",4.7100521615168285
uniform,COBYLA,vanilla,False,True,1,7,FEr^o,90.62232708930969,15,"[array(0.0980815), array(-0.2256909), array(-0.03772182), array(0.18364819), array(0.04130889), array(-0.25256391), array(-0.16723916), array(-0.24210164), array(-0.22011898), array(-0.21474428), array(-0.12699644), array(-0.23296307), array(-0.21588325), array(-0.17621768), array(-0.17896154)]","[0, 1, 1, 1, 0, 0, 0]",4.2956959298335775,"[1.0, 1.0, 1.0, 0, 0, 0, 0]",5.482542311332391
uniform,COBYLA,vanilla,False,True,1,7,F?B~o,96.17005205154419,16,"[array(-0.00370626), array(-0.09927853), array(-0.35136989), array(0.18463165), array(0.32387959), array(-0.39233288), array(-0.44007971), array(-0.07524763), array(-0.43726099), array(-0.32432736), array(-0.2982754), array(-0.35443694), array(-0.45464635), array(-0.42027596), array(-0.37320705), array(-0.37488234)]","[0, 0, 0, 1, 0, 1, 1]",5.6277076901491885,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]",6.31188997463241
