param_str,final_params
"[3.10530319,1.52771673,2.67122733,1.64128395,3.22407838,1.69704328,2.98330625,1.51448937,3.2131787,1.54402246,4.07879886,1.97177683,3.14551856,1.49016612,2.21466709,1.35065571,3.29537732,2.59001731,2.93068427,1.51907706]","[3.10530319, 1.52771673, 2.67122733, 1.64128395, 3.22407838, 1.69704328, 2.98330625, 1.51448937, 3.2131787, 1.54402246, 4.07879886, 1.97177683, 3.14551856, 1.49016612, 2.21466709, 1.35065571, 3.29537732, 2.59001731, 2.93068427, 1.51907706]"
"[4.29201149,1.65198579,2.86502024,1.79675967,2.76079771,1.59335121,3.15901577,1.42908444,2.92328609,1.40255643,3.20457886,2.91666363,2.91581926,1.40100375,3.18511886,1.84443163,3.99513321,2.63233083,3.60513195,2.99737322]","[4.29201149, 1.65198579, 2.86502024, 1.79675967, 2.76079771, 1.59335121, 3.15901577, 1.42908444, 2.92328609, 1.40255643, 3.20457886, 2.91666363, 2.91581926, 1.40100375, 3.18511886, 1.84443163, 3.99513321, 2.63233083, 3.60513195, 2.99737322]"
"[4.17149566,2.14297564,2.41340632,1.7191912,2.6362399,1.3840101,3.14614961,1.47097497,2.43304253,1.60636975,3.26001699,1.55654439,3.20869555,1.32616694,3.17139439,1.46202109,4.08942766,2.23771655,3.16603506,1.57148315]","[4.17149566, 2.14297564, 2.41340632, 1.7191912, 2.6362399, 1.3840101, 3.14614961, 1.47097497, 2.43304253, 1.60636975, 3.26001699, 1.55654439, 3.20869555, 1.32616694, 3.17139439, 1.46202109, 4.08942766, 2.23771655, 3.16603506, 1.57148315]"
"[2.67002011,2.69976359]","[2.67002011, 2.69976359]"
"[3.63071416,2.74756769]","[3.63071416, 2.74756769]"
"[3.60839667,0.3460932 ]","[3.60839667, 0.3460932]"
"[4.5219457,2.38120157,3.01879661,0.99185033,3.24033039,1.57225381,2.95945254,3.12301467,3.01361208,0.25590463,2.95353639,2.61398846,3.45134596,2.91632675]","[4.5219457, 2.38120157, 3.01879661, 0.99185033, 3.24033039, 1.57225381, 2.95945254, 3.12301467, 3.01361208, 0.25590463, 2.95353639, 2.61398846, 3.45134596, 2.91632675]"
"[3.96670638,3.51290394,3.29514421,1.54210401,3.25702681,1.34690662,3.32993588,1.6296537,3.07266837,1.52714662,3.14408713,2.72535011,2.76671188,1.9162868,4.26131667,1.72468695,3.58499525,0.91593774,3.94325614,2.45780139]","[3.96670638, 3.51290394, 3.29514421, 1.54210401, 3.25702681, 1.34690662, 3.32993588, 1.6296537, 3.07266837, 1.52714662, 3.14408713, 2.72535011, 2.76671188, 1.9162868, 4.26131667, 1.72468695, 3.58499525, 0.91593774, 3.94325614, 2.45780139]"
"[3.14369488,1.63419557]","[3.14369488, 1.63419557]"
"[1.71128424,1.88390216,3.13184502,1.6856683,3.12327384,3.12592575,4.49819281,1.80934084]","[1.71128424, 1.88390216, 3.13184502, 1.6856683, 3.12327384, 3.12592575, 4.49819281, 1.80934084]"
"[5.01448363,1.84927974,4.54010398,2.28785329,2.72138675,1.43578352,3.05833312,2.60477169,3.50541539,2.81045443,2.80647942,0.97962259,3.30444254,0.77247684]","[5.01448363, 1.84927974, 4.54010398, 2.28785329, 2.72138675, 1.43578352, 3.05833312, 2.60477169, 3.50541539, 2.81045443, 2.80647942, 0.97962259, 3.30444254, 0.77247684]"
"[2.67002011,2.6997636 ]","[2.67002011, 2.6997636]"
"[3.22080097,1.22820554,3.34441009,1.61232411,4.26945801,1.70434014,3.52358589,2.02751031]","[3.22080097, 1.22820554, 3.34441009, 1.61232411, 4.26945801, 1.70434014, 3.52358589, 2.02751031]"
"[2.36671367,3.41719935,4.40433823,3.20528612,3.38064528,3.35943315,2.9832957,1.51718339,3.08623291,1.60320298,3.23833813,3.43967479,3.09812241,1.49745101,2.31452289,0.88824684,3.49186836,1.36833878,2.50007965,1.62595001]","[2.36671367, 3.41719935, 4.40433823, 3.20528612, 3.38064528, 3.35943315, 2.9832957, 1.51718339, 3.08623291, 1.60320298, 3.23833813, 3.43967479, 3.09812241, 1.49745101, 2.31452289, 0.88824684, 3.49186836, 1.36833878, 2.50007965, 1.62595001]"
"[3.52247038,2.19873343,3.62674211,1.61342084,3.30361945,1.24303371,3.28476664,1.7808872,2.6056716,2.30197377,4.06000136,1.62529089,3.0805614,1.5723619,3.26085542,1.60637755,3.67438564,1.00667051,2.78852651,1.69068234]","[3.52247038, 2.19873343, 3.62674211, 1.61342084, 3.30361945, 1.24303371, 3.28476664, 1.7808872, 2.6056716, 2.30197377, 4.06000136, 1.62529089, 3.0805614, 1.5723619, 3.26085542, 1.60637755, 3.67438564, 1.00667051, 2.78852651, 1.69068234]"
"[3.14381751,1.66143132]","[3.14381751, 1.66143132]"
"[4.28886074,1.67359374,3.12414816,2.70099492,3.2835617,1.37890619,2.28822803,0.86015142]","[4.28886074, 1.67359374, 3.12414816, 2.70099492, 3.2835617, 1.37890619, 2.28822803, 0.86015142]"
"[4.05015696,3.22336203,3.05592167,1.5661396,3.0239926,1.64172374,3.0752998,1.67488845,2.99257214,1.54129467,3.11027907,1.78694381,3.59444565,1.59843427,3.23944077,1.5045078,3.57453644,1.62302937,3.29737604,1.66983899]","[4.05015696, 3.22336203, 3.05592167, 1.5661396, 3.0239926, 1.64172374, 3.0752998, 1.67488845, 2.99257214, 1.54129467, 3.11027907, 1.78694381, 3.59444565, 1.59843427, 3.23944077, 1.5045078, 3.57453644, 1.62302937, 3.29737604, 1.66983899]"
"[4.21288553,1.63814039,2.5487165,1.65504836,2.78638734,1.60494863,2.70079869,1.52473676,2.71799339,1.53912546,3.26186492,1.24449684,2.87845178,1.93162751,3.13982919,1.37828909,3.13555576,0.96295924,3.00990813,1.71960517]","[4.21288553, 1.63814039, 2.5487165, 1.65504836, 2.78638734, 1.60494863, 2.70079869, 1.52473676, 2.71799339, 1.53912546, 3.26186492, 1.24449684, 2.87845178, 1.93162751, 3.13982919, 1.37828909, 3.13555576, 0.96295924, 3.00990813, 1.71960517]"
"[2.37523511,1.91118552,3.73312561,1.61785446,3.07560843,2.99575549,2.97703915,2.84704934]","[2.37523511, 1.91118552, 3.73312561, 1.61785446, 3.07560843, 2.99575549, 2.97703915, 2.84704934]"
"[4.6627904,1.53412058,2.69098104,1.42303129,3.01784634,1.59593685,3.24916761,2.35378457,3.10477535,1.08529713,4.240514,1.12281267,3.87061352,1.83733771]","[4.6627904, 1.53412058, 2.69098104, 1.42303129, 3.01784634, 1.59593685, 3.24916761, 2.35378457, 3.10477535, 1.08529713, 4.240514, 1.12281267, 3.87061352, 1.83733771]"
"[3.81769837,1.59978531,2.75321615,1.67898772,2.36560646,1.75117685,2.65275275,1.95664521,3.38607962,1.99690502,2.79716855,1.18476695,2.92627914,2.59059498]","[3.81769837, 1.59978531, 2.75321615, 1.67898772, 2.36560646, 1.75117685, 2.65275275, 1.95664521, 3.38607962, 1.99690502, 2.79716855, 1.18476695, 2.92627914, 2.59059498]"
"[4.85992511,2.35775215,3.52918641,1.65708015,4.34402716,1.72256731,2.51639961,1.40911843,3.38159315,1.99189031,3.10901109,1.69841336,3.42989678,1.45585887,2.97895936,1.81052416,3.0457527,1.26317653,4.64644841,1.65159974]","[4.85992511, 2.35775215, 3.52918641, 1.65708015, 4.34402716, 1.72256731, 2.51639961, 1.40911843, 3.38159315, 1.99189031, 3.10901109, 1.69841336, 3.42989678, 1.45585887, 2.97895936, 1.81052416, 3.0457527, 1.26317653, 4.64644841, 1.65159974]"
"[3.91820025,2.79653216,3.13147593,1.85364103,3.14664934,2.34480231,3.14029563,1.58823341,3.14336791,2.05102959,2.93652027,3.0099824,4.22235772,2.25223647,4.25708028,1.83052422,4.46571487,1.72870323,4.55494794,1.77289983]","[3.91820025, 2.79653216, 3.13147593, 1.85364103, 3.14664934, 2.34480231, 3.14029563, 1.58823341, 3.14336791, 2.05102959, 2.93652027, 3.0099824, 4.22235772, 2.25223647, 4.25708028, 1.83052422, 4.46571487, 1.72870323, 4.55494794, 1.77289983]"
"[3.12093298,2.3092217 ]","[3.12093298, 2.3092217]"
"[2.94595226,1.05736083]","[2.94595226, 1.05736083]"
"[2.53412378,3.10999465,3.02394105,1.18226761,2.91765362,1.71788205,3.19084242,1.5227648,3.234386,3.23189845,3.03729585,1.42944003,2.83221062,2.22119122,2.81452482,1.791564,2.44585266,0.82023842,2.36293816,1.31301728]","[2.53412378, 3.10999465, 3.02394105, 1.18226761, 2.91765362, 1.71788205, 3.19084242, 1.5227648, 3.234386, 3.23189845, 3.03729585, 1.42944003, 2.83221062, 2.22119122, 2.81452482, 1.791564, 2.44585266, 0.82023842, 2.36293816, 1.31301728]"
